Agencia,Produto,Sentido,Volume,Data_chegada,Porto
NORTH STAR SUDESTE SERVICOS MARITIMOS LTDA-EPP,OLEO DIESEL,Imp,57858.0,19/09/2025 13:00:00,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,16321.0,20/09/2025 07:00:00,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,OLEO DIESEL,Exp,30000.0,22/09/2025,Santos
CONE SUL AGENCIA DE NAVEGAÇÃO S/C LTDA.,GAS LIQUEFEITO,Imp,18000.0,23/09/2025,Santos
AGENCIA MARITIMA GRANEL LTDA.,GRAN.LIQUIDO NAO ESPECIF,Imp,4045.0,24/09/2025 06:00:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,TRIGO A GRANEL,Imp,33000.0,25/08/2025 20:36:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,65000.0,23/08/2025 18:24:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,MILHO A GRANEL,Exp,65800.0,28/08/2025 01:30:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,SOJA A GRANEL,Exp,65000.0,29/08/2025 00:06:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,PELLETS A GRANEL,Exp,68500.0,29/08/2025 23:42:00,Santos
ALPHAMAR AGÊNCIA MARÍTIMA  LTDA.,SOJA A GRANEL,Exp,70804.0,02/09/2025 11:20:00,Santos
FERTIMPORT S/A.,SOJA A GRANEL,Exp,66000.0,07/09/2025 00:12:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,80000.0,08/09/2025 09:25:00,Santos
AGÊNCIA MARÍTIMA CARGONAVE (SP) LTDA.,MILHO A GRANEL,Exp,68520.0,09/09/2025 15:00:00,Santos
